id_cliente,data,tipo,resolvido,canal
1,2024-08-16,Financeiro,True,Telefone
1,2024-09-06,Entrega,True,Telefone
1,2024-05-23,Entrega,False,Chat
1,2025-01-22,Financeiro,False,Email
2,2024-10-27,Cadastro,False,Email
3,2024-11-28,Financeiro,False,Telefone
3,2025-01-30,Entrega,True,Chat
3,2024-05-27,Entrega,True,Telefone
4,2024-11-30,Entrega,False,Chat
4,2024-10-10,Financeiro,False,Email
4,2025-03-08,Cadastro,True,Email
5,2024-10-10,Entrega,False,Telefone
5,2024-08-30,Entrega,True,Chat
5,2024-05-27,Financeiro,True,Chat
5,2024-10-10,Entrega,True,Chat
6,2024-12-19,Financeiro,True,Email
7,2024-08-13,Cadastro,False,Email
7,2024-09-20,Financeiro,True,Telefone
7,2024-08-08,Entrega,False,Chat
8,2024-08-07,Entrega,True,Chat
9,2024-07-07,Cadastro,False,Chat
9,2024-09-26,Financeiro,True,Chat
9,2025-04-02,Cadastro,False,Chat
10,2025-03-16,Entrega,True,Telefone
11,2024-05-22,Entrega,False,Chat
12,2025-04-28,Entrega,True,Email
12,2025-04-08,Financeiro,False,Telefone
12,2025-01-15,Entrega,True,Telefone
12,2024-10-22,Entrega,True,Chat
13,2025-05-12,Cadastro,True,Telefone
14,2024-11-23,Cadastro,False,Email
14,2024-11-02,Financeiro,False,Telefone
14,2024-11-20,Cadastro,True,Email
14,2024-06-02,Entrega,True,Telefone
14,2024-09-23,Cadastro,False,Email
15,2024-05-18,Cadastro,False,Email
15,2025-02-16,Entrega,False,Telefone
16,2025-02-25,Entrega,False,Chat
16,2025-01-30,Financeiro,False,Chat
16,2025-01-02,Financeiro,False,Email
16,2024-05-30,Entrega,False,Chat
16,2024-09-18,Cadastro,True,Telefone
17,2025-03-21,Entrega,False,Telefone
18,2024-11-01,Entrega,True,Chat
19,2025-03-23,Financeiro,True,Chat
19,2024-06-02,Financeiro,True,Chat
19,2024-10-22,Financeiro,True,Chat
20,2024-12-24,Entrega,True,Telefone
20,2024-07-10,Cadastro,True,Chat
21,2025-01-30,Cadastro,False,Chat
21,2024-05-27,Financeiro,False,Telefone
21,2024-07-11,Entrega,False,Telefone
22,2025-01-11,Cadastro,False,Email
22,2024-05-13,Financeiro,False,Email
23,2024-10-04,Cadastro,False,Chat
23,2025-01-24,Entrega,False,Email
23,2025-03-23,Cadastro,True,Email
23,2025-04-18,Financeiro,True,Telefone
24,2024-12-18,Financeiro,False,Chat
24,2025-01-24,Entrega,False,Email
24,2025-02-09,Financeiro,False,Telefone
25,2024-10-27,Cadastro,False,Email
25,2024-09-15,Entrega,True,Email
26,2024-11-21,Cadastro,True,Email
26,2024-08-13,Cadastro,False,Telefone
27,2025-02-18,Cadastro,False,Telefone
27,2024-10-08,Cadastro,True,Telefone
27,2024-12-22,Entrega,False,Chat
28,2025-02-05,Cadastro,True,Chat
28,2025-05-01,Entrega,True,Telefone
28,2024-11-15,Financeiro,False,Email
28,2024-11-24,Entrega,False,Chat
29,2024-08-01,Entrega,False,Telefone
30,2024-11-30,Entrega,False,Chat
31,2024-06-03,Financeiro,True,Email
31,2025-03-29,Financeiro,False,Telefone
32,2025-04-06,Financeiro,True,Email
32,2024-06-07,Cadastro,False,Telefone
32,2025-05-01,Financeiro,False,Telefone
32,2024-10-09,Financeiro,False,Email
33,2025-02-12,Financeiro,True,Telefone
33,2024-07-03,Entrega,False,Chat
34,2024-06-13,Entrega,False,Telefone
34,2024-05-26,Financeiro,False,Chat
34,2024-10-08,Financeiro,True,Email
34,2024-08-16,Cadastro,True,Chat
35,2025-05-06,Cadastro,False,Chat
35,2024-09-30,Entrega,True,Chat
35,2024-07-21,Cadastro,True,Email
35,2024-06-02,Entrega,True,Email
36,2025-02-23,Entrega,False,Telefone
36,2024-09-21,Cadastro,True,Email
36,2024-12-02,Cadastro,False,Telefone
36,2025-03-14,Cadastro,True,Chat
37,2025-01-11,Cadastro,True,Chat
37,2025-05-01,Financeiro,True,Email
38,2024-12-17,Cadastro,False,Telefone
38,2024-07-26,Entrega,False,Email
38,2025-01-09,Cadastro,False,Telefone
39,2024-07-11,Financeiro,True,Telefone
39,2024-06-14,Entrega,True,Telefone
39,2024-05-28,Entrega,False,Chat
40,2024-07-12,Entrega,False,Email
41,2025-01-31,Financeiro,False,Telefone
41,2025-01-21,Entrega,False,Telefone
41,2025-02-09,Financeiro,False,Email
41,2025-01-02,Cadastro,True,Chat
41,2025-02-20,Entrega,False,Telefone
42,2025-03-09,Cadastro,True,Telefone
42,2025-04-28,Financeiro,True,Telefone
42,2024-11-21,Entrega,False,Chat
42,2025-05-10,Entrega,False,Chat
43,2025-01-06,Entrega,False,Email
44,2024-06-15,Entrega,False,Telefone
44,2024-08-10,Financeiro,True,Email
44,2025-02-19,Entrega,True,Email
45,2024-07-31,Cadastro,True,Telefone
45,2024-08-17,Entrega,True,Chat
45,2024-09-26,Entrega,False,Email
45,2024-10-07,Financeiro,True,Telefone
45,2024-09-26,Financeiro,False,Chat
46,2025-03-28,Financeiro,False,Chat
47,2025-02-03,Financeiro,True,Chat
47,2024-08-11,Financeiro,True,Telefone
48,2025-03-07,Financeiro,True,Email
48,2025-04-09,Financeiro,False,Chat
49,2025-01-10,Entrega,True,Chat
49,2024-10-27,Entrega,False,Telefone
49,2024-09-06,Financeiro,False,Telefone
49,2024-07-23,Cadastro,True,Telefone
50,2024-11-23,Entrega,True,Telefone
51,2024-08-21,Cadastro,False,Chat
51,2025-03-18,Financeiro,False,Telefone
51,2024-10-20,Entrega,False,Telefone
52,2024-05-28,Cadastro,True,Telefone
52,2025-01-18,Financeiro,False,Chat
53,2024-10-02,Entrega,False,Telefone
54,2025-02-09,Financeiro,False,Email
54,2024-06-27,Cadastro,False,Chat
54,2024-09-19,Financeiro,False,Chat
54,2024-07-01,Entrega,True,Chat
